Рыба №	Опыт №	Проба №	Маршрут
2	19	3	НОФФИЛБЛИМКГ+Г-КЛЛКЗСЖЛЛЖССТ
2	19	4	НОООФЦЩЗСГ+ЩЦХЩА+ККШХЦЩГ-ЩЦХШКЛЕР
2	20	1	НОИИФФООИКА+ДДШХФФМЛЛКГ+ШЦЦШГ-ЗСТ
2	20	2	УОФФИИКА+ДДШХЦЦХША-ШХЦЩГ+ККГ-ЗСТ
2	20	3	НОФХША+ДДА-ККШХЦЩГ+КМИКШХЦЩЗССЗЩЦХША-КЛЕР
2	20	4	ПОФХШККШХЦЦГ+ККГ-ЗССЗЩЦЦЗССССЗЗССЗЩЦЦЗССЗЗСТ
2	22	1	НОИККДДА+А-ДДА-ККА-ШХХШДССДА-А-А-А-А-А-А-ДДССДШХЦЩГ+ЩЦФООИККЛЕР
2	22	2	ПОФФХША+А-ШАФФХША-А-ДССДА-А-А-ШХХШДССДШХХХЦЩЗССЗККГ+ЗССЗЩЦЦЩКЛЖТ
2	22	3	ПУОИКШХЦЩКЛЖЖВЖССССЖЛКЩЦХФФХХХША+ШХЦЦХША-А-А-А-ШХЦЩЗССЗГ+ЗССЗГ-КЛЖЖЛЛЖТ
2	22	4	НОИКА+ДССДШХЦЦХША-ДССДКЛЕСДШХЦГ+ЗЗГ-ЩЦХШККДСР
2	23	1	НОИИИКА+А-ККА-ШХЦЩГ+КЛЖТ
2	23	2	ПОФХХЦЩЗССЗЩЦХША+ШХАЦЦХША-ДССДА-ККДДШХЦЩЗСТ
2	23	3	НОФХША+ШХХША-ДССДШХЦЩКЛЖСЗККЗССЗЩЦХШДДШХЦЩЗССЗГ+ЗСЖЖТ
2	23	4	НОФХША+А-ШХЦЩККГ+ЩЦХШДСР
2	23	5	НОФХШДСЕБЛЛССР
2	23	6	НОИЛЕСДА+ШХЦЦШХЗССЗГ+ЩЦХХХШДСР
2	23	7	ПОООИКА+ККА-ШХЦЦХШДСЕЛИММИККЛЛИМККЛЖТ
2	24	1	НОИКА+ДССДА-ККДССДКЛБЕРРЕЛИООМКГ+ККЩЦХХЦЩКЛЖТ
2	24	2	НОФХША+ДССДА-ДССДШХЦЩГ+Г-ЩЦХША-КЛЕР
2	24	3	ПОФХХЦЩГ+ККГ-ЗССЗГ-ЗССЗЦХШККА+ШХЦЩГ-ЦЗСТ
2	24	4	НОМКГ+Г-ЗСТ
2	24	5	НОМКГ+ЗССЗЩЦХХЦГ-ЗССЗГ-КЛЛККЛЖТ
2	24	6	НОФХЦЩККЗССЗГ+ЗЗЩЦЦЩГ-КККЛЖТ
2	24	7	НОФХША+ШХФМКГ+ККГ-ЩЦХХЦЩЗССЗЩЦХХЦЦХХЦЦХША-КЛЕР
2	25	1	НОИКА+ШХФООИКА-ДСР
2	25	2	ПОФХША+ККШХЦЩГ+ЗССЗКЛЖТ
2	25	3	ПОМКГ+ЗССЗГ-ЗССЗЗСТТЖЛКЩЦХША+ДСР
2	25	4	ПОММИКШХЦЩГ+ЩЦЦККЦХША+ККШХЦЦХША-КЛЕР
2	25	5	НОМКЛЛКГ+ЗСЖЛЛЖССССССТ
2	25	6	ПОФХШККШХЦЦХЦЦХХЦЦХХЦГ+ККЦХХЦГ-ЗСССССССТ
2	25	7	НОИКДССДШХХША+ККШХЦЩГ+КККМЛЖТ
2	26	1	НОФЩЦГ+ЩЦХША+ДСР
2	26	2	НОИКА+ДССДА-ККА-ДСЕИИИМКГ+КЛЖТ
